Area , 7.47733 mm^2, 7.47733 mm^2, 7.47733 mm^2, 7.47733 mm^2, 7.47733 mm^2
Subthreshold Leakage , 0.00460747 W, 0.00460747 W, 0.00460747 W, 0.00460747 W, 0.00460747 W
Gate Leakage , 0.000556536 W, 0.000556536 W, 0.000556536 W, 0.000556536 W, 0.000556536 W
Runtime Dynamic , 0.0074136 W, 0.000731789 W, 0.000178734 W, 0.0208712 W, 0.00777041 W
, Machine ,5,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.57986,  1.13940,  1.18262,  7.06012,  2.63262
 Energy , 488.872194 mJ, 352.090438 mJ, 373.205506 mJ, 2019.207734 mJ, 771.564619 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2
Subthreshold Leakage , 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W
Gate Leakage , 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W
Runtime Dynamic , 0.486153 W, 0.491757 W, 0.559402 W, 0.207705 W, 0.297274 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 4.17438 mm^2, 4.17438 mm^2, 4.17438 mm^2, 4.17438 mm^2, 4.17438 mm^2
Subthreshold Leakage , 0.00275444 W, 0.00275444 W, 0.00275444 W, 0.00275444 W, 0.00275444 W
Gate Leakage , 0.000392649 W, 0.000392649 W, 0.000392649 W, 0.000392649 W, 0.000392649 W
Runtime Dynamic , 0.00532681 W, 0.000648279 W, 0.000120289 W, 0.0168171 W, 0.00764785 W
, Machine ,6,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.52644,  1.13392,  1.18216,  7.03832,  2.62712
 Energy , 565.397385 mJ, 417.055032 mJ, 444.178980 mJ, 2391.223349 mJ, 912.449275 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 23.8415 mm^2, 23.8415 mm^2, 23.8415 mm^2, 23.8415 mm^2, 23.8415 mm^2
Subthreshold Leakage , 2.96773 W, 2.96773 W, 2.96773 W, 2.96773 W, 2.96773 W
Gate Leakage , 0.022475 W, 0.022475 W, 0.022475 W, 0.022475 W, 0.022475 W
Runtime Dynamic , 0.627496 W, 0.611864 W, 0.69253 W, 0.268131 W, 0.371406 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2
Subthreshold Leakage , 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W
Gate Leakage , 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W
Runtime Dynamic , 0.00768571 W, 0.00067579 W, 0.000166747 W, 0.0254449 W, 0.00793762 W
, Machine ,7,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.63820,  1.15266,  1.18598, 11.66498,  3.91979
 Energy , 330.179210 mJ, 234.703784 mJ, 244.071482 mJ, 2186.346204 mJ, 747.404782 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 16.0588 mm^2, 16.0588 mm^2, 16.0588 mm^2, 16.0588 mm^2, 16.0588 mm^2
Subthreshold Leakage , 1.66546 W, 1.66546 W, 1.66546 W, 1.66546 W, 1.66546 W
Gate Leakage , 0.0113064 W, 0.0113064 W, 0.0113064 W, 0.0113064 W, 0.0113064 W
Runtime Dynamic , 0.252279 W, 0.28372 W, 0.307516 W, 0.0711894 W, 0.112725 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 13.211 mm^2, 13.211 mm^2, 13.211 mm^2, 13.211 mm^2, 13.211 mm^2
Subthreshold Leakage , 0.00816516 W, 0.00816516 W, 0.00816516 W, 0.00816516 W, 0.00816516 W
Gate Leakage , 0.000776381 W, 0.000776381 W, 0.000776381 W, 0.000776381 W, 0.000776381 W
Runtime Dynamic , 0.00626062 W, 0.0005893 W, 0.000165917 W, 0.00554513 W, 0.00464186 W
, Machine ,8,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53311,  1.11498,  1.17817,  5.01106,  1.99147
 Energy , 1004.262590 mJ, 720.447672 mJ, 783.488522 mJ, 3025.861934 mJ, 1244.418099 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 36.1509 mm^2, 36.1509 mm^2, 36.1509 mm^2, 36.1509 mm^2, 36.1509 mm^2
Subthreshold Leakage , 5.1311 W, 5.1311 W, 5.1311 W, 5.1311 W, 5.1311 W
Gate Leakage , 0.0422332 W, 0.0422332 W, 0.0422332 W, 0.0422332 W, 0.0422332 W
Runtime Dynamic , 1.27123 W, 1.20803 W, 1.3984 W, 0.711896 W, 0.96084 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 18.1823 mm^2, 18.1823 mm^2, 18.1823 mm^2, 18.1823 mm^2, 18.1823 mm^2
Subthreshold Leakage , 0.0116336 W, 0.0116336 W, 0.0116336 W, 0.0116336 W, 0.0116336 W
Gate Leakage , 0.00178194 W, 0.00178194 W, 0.00178194 W, 0.00178194 W, 0.00178194 W
Runtime Dynamic , 0.0253606 W, 0.00193643 W, 0.000437962 W, 0.0477418 W, 0.0174254 W
, Machine ,9,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53477,  1.13403,  1.18143,  7.03840,  2.62076
 Energy , 479.634865 mJ, 352.788681 mJ, 375.154930 mJ, 2022.206927 mJ, 773.380510 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 17.6483 mm^2, 17.6483 mm^2, 17.6483 mm^2, 17.6483 mm^2, 17.6483 mm^2
Subthreshold Leakage , 2.52133 W, 2.52133 W, 2.52133 W, 2.52133 W, 2.52133 W
Gate Leakage , 0.0190255 W, 0.0190255 W, 0.0190255 W, 0.0190255 W, 0.0190255 W
Runtime Dynamic , 0.500792 W, 0.494643 W, 0.560601 W, 0.208611 W, 0.298971 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 12.8774 mm^2, 12.8774 mm^2, 12.8774 mm^2, 12.8774 mm^2, 12.8774 mm^2
Subthreshold Leakage , 0.00887322 W, 0.00887322 W, 0.00887322 W, 0.00887322 W, 0.00887322 W
Gate Leakage , 0.00107583 W, 0.00107583 W, 0.00107583 W, 0.00107583 W, 0.00107583 W
Runtime Dynamic , 0.0054123 W, 0.000714191 W, 2.96883e-05 W, 0.0104919 W, 0.0079505 W
, Machine ,10,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53304,  1.13387,  1.18135,  7.03865,  2.62076
 Energy , 432.092289 mJ, 317.346593 mJ, 339.501954 mJ, 1781.298606 mJ, 686.255441 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 24.8691 mm^2, 24.8691 mm^2, 24.8691 mm^2, 24.8691 mm^2, 24.8691 mm^2
Subthreshold Leakage , 2.1569 W, 2.1569 W, 2.1569 W, 2.1569 W, 2.1569 W
Gate Leakage , 0.0149794 W, 0.0149794 W, 0.0149794 W, 0.0149794 W, 0.0149794 W
Runtime Dynamic , 0.562776 W, 0.550879 W, 0.627432 W, 0.234476 W, 0.334798 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 13.1659 mm^2, 13.1659 mm^2, 13.1659 mm^2, 13.1659 mm^2, 13.1659 mm^2
Subthreshold Leakage , 0.0089513 W, 0.0089513 W, 0.0089513 W, 0.0089513 W, 0.0089513 W
Gate Leakage , 0.0010833 W, 0.0010833 W, 0.0010833 W, 0.0010833 W, 0.0010833 W
Runtime Dynamic , 0.00524748 W, 0.000706485 W, 7.67215e-06 W, 0.0106507 W, 0.00807119 W
, Machine ,11,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53330,  1.13387,  1.18134,  7.03906,  2.62076
 Energy , 505.824863 mJ, 370.237786 mJ, 397.664856 mJ, 2065.876826 mJ, 798.598511 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 33.6123 mm^2, 33.6123 mm^2, 33.6123 mm^2, 33.6123 mm^2, 33.6123 mm^2
Subthreshold Leakage , 2.51266 W, 2.51266 W, 2.51266 W, 2.51266 W, 2.51266 W
Gate Leakage , 0.0177753 W, 0.0177753 W, 0.0177753 W, 0.0177753 W, 0.0177753 W
Runtime Dynamic , 0.684361 W, 0.658608 W, 0.761073 W, 0.279748 W, 0.40463 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 13.3224 mm^2, 13.3224 mm^2, 13.3224 mm^2, 13.3224 mm^2, 13.3224 mm^2
Subthreshold Leakage , 0.00910636 W, 0.00910636 W, 0.00910636 W, 0.00910636 W, 0.00910636 W
Gate Leakage , 0.00110378 W, 0.00110378 W, 0.00110378 W, 0.00110378 W, 0.00110378 W
Runtime Dynamic , 0.00527964 W, 0.000709866 W, 4.11821e-06 W, 0.0107879 W, 0.00817559 W
, Machine ,12,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.52692,  1.11289,  1.17709,  4.97248,  1.98911
 Energy , 759.740423 mJ, 543.732892 mJ, 599.778357 mJ, 2186.578465 mJ, 925.175516 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 47.5091 mm^2, 47.5091 mm^2, 47.5091 mm^2, 47.5091 mm^2, 47.5091 mm^2
Subthreshold Leakage , 3.46055 W, 3.46055 W, 3.46055 W, 3.46055 W, 3.46055 W
Gate Leakage , 0.0253457 W, 0.0253457 W, 0.0253457 W, 0.0253457 W, 0.0253457 W
Runtime Dynamic , 1.39563 W, 1.32014 W, 1.53157 W, 0.781482 W, 1.05094 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 18.5988 mm^2, 18.5988 mm^2, 18.5988 mm^2, 18.5988 mm^2, 18.5988 mm^2
Subthreshold Leakage , 0.0117038 W, 0.0117038 W, 0.0117038 W, 0.0117038 W, 0.0117038 W
Gate Leakage , 0.00179366 W, 0.00179366 W, 0.00179366 W, 0.00179366 W, 0.00179366 W
Runtime Dynamic , 0.0135256 W, 0.0013786 W, 1.24943e-05 W, 0.0242844 W, 0.0171283 W
, Machine ,13,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.51798,  1.09894,  1.17546,  3.71467,  1.65385
 Energy , 803.770410 mJ, 578.313878 mJ, 627.521133 mJ, 1937.308130 mJ, 843.710064 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 37.0374 mm^2, 37.0374 mm^2, 37.0374 mm^2, 37.0374 mm^2, 37.0374 mm^2
Subthreshold Leakage , 3.07114 W, 3.07114 W, 3.07114 W, 3.07114 W, 3.07114 W
Gate Leakage , 0.0189889 W, 0.0189889 W, 0.0189889 W, 0.0189889 W, 0.0189889 W
Runtime Dynamic , 2.02243 W, 2.05169 W, 2.13199 W, 1.93053 W, 1.84556 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 83.8533 mm^2, 83.8533 mm^2, 83.8533 mm^2, 83.8533 mm^2, 83.8533 mm^2
Subthreshold Leakage , 0.0425755 W, 0.0425755 W, 0.0425755 W, 0.0425755 W, 0.0425755 W
Gate Leakage , 0.00935023 W, 0.00935023 W, 0.00935023 W, 0.00935023 W, 0.00935023 W
Runtime Dynamic , 0.0641756 W, 0.00414374 W, 4.26859e-05 W, 0.059716 W, 0.0378429 W
